ID,Model Name,Link
1,5CD-AI/Vintern-Embedding-1B,5CD-AI/Vintern-Embedding-1B · Hugging Face
2,AimonLabs/hallucination-detection-model,https://huggingface.co/AimonLabs/hallucination-detection-model
3,AITeamVN/GRPO-VI-Qwen2-7B-RAG,https://huggingface.co/AITeamVN/Vi-Qwen2-7B-RAG
4,AITeamVN/Vietnamese_Embedding,https://huggingface.co/AITeamVN/Vietnamese_Embedding
5,AITeamVN/Vietnamese_Reranker,https://huggingface.co/AITeamVN/Vietnamese_Reranker
6,ajayat/xlm-roberta-large-xnli,https://huggingface.co/ajayat/xlm-roberta-large-xnli
7,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
8,BAAI/bge-m3,https://huggingface.co/BAAI/bge-m3
9,BAAI/bge-reranker-v2-m3,https://huggingface.co/BAAI/bge-reranker-v2-m3
10,BARTpho,https://huggingface.co/vinai/bartpho-syllable
11,bge-large-en-v1.5,https://huggingface.co/BAAI/bge-large-en-v1.5
12,bmd1905/vietnamese-correction-v2 (sửa lỗi chính tả),https://huggingface.co/bmd1905/vietnamese-correction-v2
13,CafeBERT,https://huggingface.co/uitnlp/CafeBERT
14,chieunq/vietnamese-sentence-paraphase,https://huggingface.co/chieunq/vietnamese-sentence-paraphase
15,clapAI/modernBERT-large-multilingual-sentiment,https://huggingface.co/clapAI/modernBERT-large-multilingual-sentiment
16,cross-encoder/nli-deberta-v3-large,https://huggingface.co/cross-encoder/nli-deberta-v3-large
17,dangvantuan/vietnamese-document-embedding,https://huggingface.co/dangvantuan/vietnamese-document-embedding
18,dangvantuan/vietnamese-embedding,https://huggingface.co/dangvantuan/vietnamese-embedding
19,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
20,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B
21,distilbert/distilbert-base-multilingual-cased,https://huggingface.co/distilbert/distilbert-base-multilingual-cased
22,distilbert/distilbert-base-uncased,https://huggingface.co/distilbert/distilbert-base-uncased
23,facebook/bart-large-mnli,https://huggingface.co/facebook/bart-large-mnli
24,FacebookAI/roberta-large-mnli,https://huggingface.co/FacebookAI/roberta-large-mnli
25,FacebookAI/xlm-roberta-base,https://huggingface.co/FacebookAI/xlm-roberta-base
26,Gemma 7B,https://huggingface.co/google/gemma-7b
27,ghost-x/ghost-7b-alpha,https://huggingface.co/ghost-x/ghost-7b-alpha
28,google-bert/bert-base-multilingual-uncased,https://huggingface.co/google-bert/bert-base-multilingual-uncased
29,google/embeddinggemma-300m,https://huggingface.co/google/embeddinggemma-300m
30,google/gemma-2-2b,https://huggingface.co/google/gemma-2-2b
31,google/gemma-2-2b-it,https://huggingface.co/google/gemma-2-2b-it
32,google/gemma-3-4b-it,https://huggingface.co/collections/google/gmma-3-release-67c6c6f89c4f76621268bb6d
33,google/mt5-base,https://huggingface.co/google/mt5-base
34,HHEM-2.1-open (vectara/hallucination_evaluation_model),https://huggingface.co/vectara/hallucination_evaluation_model
35,joeddav/bart-large-mnli-yahoo-answers,https://huggingface.co/joeddav/bart-large-mnli-yahoo-answers
36,joeddav/xlm-roberta-large-xnli,https://huggingface.co/joeddav/xlm-roberta-large-xnli
37,keepitreal/vietnamese-sbert,https://huggingface.co/keepitreal/vietnamese-sbert
38,LLaMA-2-7B,https://huggingface.co/meta-llama/Llama-2-7b-hf
39,lyle49/lora_model_nli_vietnamese,https://huggingface.co/lyle49/lora_model_nli_vietnamese
40,mDeBERTa-v3-base-mnli-xnli,https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli
41,meta-llama/Llama-3.2-1B-Instruct,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct
42,meta-llama/Llama-3.2-3B-Instruct,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct
43,microsoft/deberta-xlarge-mnli,https://huggingface.co/microsoft/deberta-xlarge-mnli
44,microsoft/infoxlm-large,https://huggingface.co/microsoft/infoxlm-large
45,microsoft/mdeberta-v3-base,https://huggingface.co/microsoft/deberta-v3-base
46,Mistral-7B-Instruct-v0.3,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3
47,Mistral-7B-v0.1,https://huggingface.co/mistralai/Mistral-7B-v0.1
48,mistralai/Mistral-7B-Instruct-v0.2,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2
49,MoritzLaurer/bge-m3-zeroshot-v2.0,https://huggingface.co/MoritzLaurer/bge-m3-zeroshot-v2.0
50,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,https://huggingface.co/MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli
51,MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,https://huggingface.co/MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli
